objetID;dateReferentiel;route;longueur;ploD;absD;cumulD;xD;yD;zD;ploF;absF;cumulF;xF;yF;zF;cote;voie;accrochage;CodeMacroSection;MacroSectionEquipee;NomStationRef;CodeSiredoStationRef;TypeStationRef;TypeStationRef_lib;DateStationRef;IndiceNational;sectionnement_gestionnaire
Obx54ySqFt_5873;01/01/2019;A0035;3561;68PR59D;0;105409;1024624,53;6789279,82;0;68PR63D;405;108970;1026061,88;6786428,68;0;I;0;ACCROCHE;A0035_M18;1;THIENHEIMER;MZr68.1;2;QT, TT, VT, LC, VC;01/01/2017;0;DIRE
Obx54ySqFt_5874;01/01/2019;A0035;3202;68PR63D;405;108970;1026061,88;6786428,68;0;68PR66D;600;112172;1026397,29;6783256,58;0;I;0;ACCROCHE;A0035_M19;1;HORBOURG;MZr68.4;2;QT, TT, VT, LC, VC;01/01/2015;1;DIRE
Obx54ySqFt_5875;01/01/2019;A0035;2560;68PR66D;600;112172;1026397,29;6783256,58;0;68PR69D;158;114732;1025509,28;6780865,9;0;I;0;ACCROCHE;A0035_M20;1;DASCHBUL;MZr68.2;2;QT, TT, VT, LC, VC;01/06/2015;0;DIRE
Obx54ySqFt_5876;01/01/2019;A0035;6092;68PR69D;158;114732;1025509,28;6780865,9;0;68PR75D;279;120824;1026428,4;6774863,46;0;I;0;ACCROCHE;A0035_M21;1;FRONHOLZ;MZr68.8;2;QT, TT, VT, LC, VC;01/01/2017;1;DIRE
Obx54ySqFt_5877;01/01/2019;A0035;7760;68PR75D;279;120824;1026428,4;6774863,46;0;68PR83D;153;128584;1025458,05;6767196,45;0;I;0;ACCROCHE;A0035_M22;1;OBERHERGHEIM;MZR68.D;2;QT, TT, VT, LC, VC;01/10/2014;0;DIRE
Obx54ySqFt_5878;01/01/2019;A0035;5691;68PR83D;153;128584;1025458,05;6767196,45;0;68PR88D;928;134275;1027651,83;6761965,79;0;I;0;ACCROCHE;A0035_M23;1;MEYENHEIM;MZR68.C;2;QT, TT, VT, LC, VC;01/10/2014;0;DIRE
Obx54ySqFt_5879;01/01/2019;A0035;10885;68PR88D;928;134275;1027651,83;6761965,79;0;68PR100D;39;145160;1029739,8;6751461,65;0;I;0;ACCROCHE;A0035_M24;1;BALDERSHEIM;MZR68.3;3;QT, TT, VT, LC, VC, KC;01/01/2017;0;DIRE
Obx54ySqFt_5880;01/01/2019;A0035;4570;68PR100D;39;145160;1029739,8;6751461,65;0;68PR104D;629;149730;1031192,07;6747254,64;0;I;0;ACCROCHE;A0035_M25;0;;;;;;0;DIRE
Obx54ySqFt_5881;01/01/2019;A0035;19758;68PR104D;629;149730;1031192,07;6747254,64;0;68PR124D;398;169488;1041535,49;6730781,25;0;I;0;ACCROCHE;A0035_M26;1;BLOTZHEIM;MZR68.8;2;QT, TT, VT, LC, VC;01/01/2015;0;DIRE
Obx54ySqFt_5882;01/01/2019;A0036;1420;68PR110D;750;10750;1029717,04;6751530,94;0;68PR112D;170;12170;1030935,1;6752259,42;0;I;0;ACCROCHE;A0036_M4;1;PEUGEOT;MZR68.7;2;QT, TT, VT, LC, VC;01/01/2014;0;DIRE
Obx54ySqFt_5883;01/01/2019;A0036;8338;68PR112D;170;12170;1030935,1;6752259,42;0;DD68PR120D;0;20508;1039060,29;6751404,88;0;I;0;ACCROCHE;A0036_M5;1;OTTMARSHEIM;MZR68.5;3;QT, TT, VT, LC, VC, KC;01/01/2015;1;DIRE
Obx54ySqFt_5884;01/01/2019;A0038;20938;21PR0D;0;0;818417,3;6684757,59;0;21PR21D;0;20938;836184,55;6690196,46;0;I;0;ACCROCHE;A0038_M1;1;CIVRY;MXC21.4;2;QT, TT, VT, LC, VC;24/03/1994;0;DIRCE
Obx54ySqFt_5885;01/01/2019;A0038;15141;21PR21D;0;20938;836184,55;6690196,46;0;FRU;0;36079;849652,4;6694518,56;0;I;0;ACCROCHE;A0038_M2;1;PONT_DE_PANY M/F;MXC21.5 / MXC21.6;2;QT, TT, VT, LC, VC;01/09/1994;0;DIRCE
Obx54ySqFt_5886;01/01/2019;A0047;13575;69PR0D;0;0;839854,5;6500375,24;0;42PR14D;0;13575;828317,71;6494818,16;0;I;0;ACCROCHE;A0047_M1;1;GIVORS;MYR69.3;2;QT, TT, VT, LC, VC;10/03/1992;1;DIRCE
Obx54ySqFt_5887;01/01/2019;A0047;8831;42PR14D;0;13575;828317,71;6494818,16;0;42PR22D;900;22406;821615,98;6489774,63;0;I;0;ACCROCHE;A0047_M2;1;GRAND_CROIX;MYL42.1;2;QT, TT, VT, LC, VC;01/01/2013;0;DIRCE
Obx54ySqFt_5888;01/01/2019;A0047;6894;42PR22D;900;22406;821615,98;6489774,63;0;FRD;0;29300;817041,17;6486374,98;0;I;0;ACCROCHE;A0047_M3;1;PARADIS;MYL42.3;2;QT, TT, VT, LC, VC;01/01/2013;0;DIRCE
Obx54ySqFt_5889;01/01/2019;A0050;2394;13PR10D;495;9894;904454,86;6246115,14;0;13PR12D;880;12288;906795,94;6246537,18;0;I;0;ACCROCHE;A0050_M4;1;M4b;MM413.b;2;QT, TT, VT, LC, VC;01/01/2000;0;DIRMED
